Nom de l'Organisme
Métropole Européenne de Lille
EPA Euralille
Soreli (Lille)
Eurométropole de Strasbourg
SERS (Strasbourg)
Grand Reims Aménagement
Dijon Métropole
EPASE Saint-Etienne
EPF Grand Est
